date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
20-12-2025,chhattisgarh,Raipur,493113,0,3,raipur,raipur
20-12-2025,chhattisgarh,Raipur,493114,2,13,raipur,raipur
20-12-2025,chhattisgarh,Raipur,493225,4,38,raipur,raipur
26-11-2025,chhattisgarh,Bilaspur,495009,0,11,bilaspur,bilaspur
26-11-2025,chhattisgarh,Bilaspur,495113,1,33,bilaspur,bilaspur
26-11-2025,chhattisgarh,Bilaspur,495449,1,5,bilaspur,bilaspur
26-11-2025,chhattisgarh,Bilaspur,495559,0,16,bilaspur,bilaspur
26-11-2025,chhattisgarh,Durg,490022,0,1,durg,durg
26-11-2025,chhattisgarh,Durg,490023,1,25,durg,durg
26-11-2025,chhattisgarh,Durg,491227,0,1,durg,durg
26-11-2025,chhattisgarh,Korba,495446,1,13,korba,korba
26-11-2025,chhattisgarh,Korba,495447,0,16,korba,korba
26-11-2025,chhattisgarh,Korba,495454,1,10,korba,korba
26-11-2025,chhattisgarh,Korba,495674,1,79,korba,korba
26-11-2025,chhattisgarh,Raigarh,496220,1,4,raigarh,raigarh
26-11-2025,chhattisgarh,Raigarh,496440,0,28,raigarh,raigarh
26-11-2025,chhattisgarh,Raigarh,496551,0,20,raigarh,raigarh
26-11-2025,chhattisgarh,Raipur,492006,0,4,raipur,raipur
26-11-2025,chhattisgarh,Raipur,492008,1,5,raipur,raipur
26-11-2025,chhattisgarh,Raipur,492009,0,14,raipur,raipur
26-11-2025,chhattisgarh,Raipur,492015,0,14,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493111,1,29,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493116,1,17,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493441,0,29,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493445,0,6,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493885,1,13,raipur,raipur
26-11-2025,chhattisgarh,Raipur,493992,0,5,raipur,raipur
27-11-2025,chhattisgarh,Bilaspur,495112,2,31,bilaspur,bilaspur
27-11-2025,chhattisgarh,Bilaspur,495117,1,86,bilaspur,bilaspur
27-11-2025,chhattisgarh,Durg,490011,3,47,durg,durg
27-11-2025,chhattisgarh,Durg,490026,2,15,durg,durg
27-11-2025,chhattisgarh,Durg,491226,0,29,durg,durg
27-11-2025,chhattisgarh,Durg,491331,3,30,durg,durg
27-11-2025,chhattisgarh,Korba,495446,0,41,korba,korba
27-11-2025,chhattisgarh,Korba,495454,2,28,korba,korba
27-11-2025,chhattisgarh,Korba,495684,0,16,korba,korba
27-11-2025,chhattisgarh,Raigarh,496100,0,13,raigarh,raigarh
27-11-2025,chhattisgarh,Raigarh,496440,0,25,raigarh,raigarh
27-11-2025,chhattisgarh,Raigarh,496661,2,31,raigarh,raigarh
27-11-2025,chhattisgarh,Raipur,492001,9,129,raipur,raipur
27-11-2025,chhattisgarh,Raipur,492010,0,20,raipur,raipur
27-11-2025,chhattisgarh,Raipur,492011,0,6,raipur,raipur
27-11-2025,chhattisgarh,Raipur,492013,7,45,raipur,raipur
27-11-2025,chhattisgarh,Raipur,492101,1,22,raipur,raipur
27-11-2025,chhattisgarh,Raipur,493111,3,22,raipur,raipur
27-11-2025,chhattisgarh,Raipur,493114,1,36,raipur,raipur
27-11-2025,chhattisgarh,Raipur,493221,5,76,raipur,raipur
28-11-2025,chhattisgarh,Bilaspur,495006,4,41,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495009,7,33,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495119,6,160,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495220,4,37,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495224,16,123,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495446,0,4,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495551,16,177,bilaspur,bilaspur
28-11-2025,chhattisgarh,Durg,490001,2,13,durg,durg
28-11-2025,chhattisgarh,Durg,490020,2,12,durg,durg
28-11-2025,chhattisgarh,Durg,490026,2,16,durg,durg
28-11-2025,chhattisgarh,Durg,490042,3,14,durg,durg
28-11-2025,chhattisgarh,Durg,491222,2,2,durg,durg
28-11-2025,chhattisgarh,Durg,491223,1,22,durg,durg
28-11-2025,chhattisgarh,Durg,491332,2,3,durg,durg
28-11-2025,chhattisgarh,Korba,495449,3,68,korba,korba
28-11-2025,chhattisgarh,Korba,495450,0,20,korba,korba
28-11-2025,chhattisgarh,Korba,495452,2,14,korba,korba
28-11-2025,chhattisgarh,Korba,495671,0,21,korba,korba
28-11-2025,chhattisgarh,Korba,495677,2,22,korba,korba
28-11-2025,chhattisgarh,Korba,495683,0,17,korba,korba
28-11-2025,chhattisgarh,Raigarh,496100,0,14,raigarh,raigarh
28-11-2025,chhattisgarh,Raigarh,496116,4,72,raigarh,raigarh
28-11-2025,chhattisgarh,Raigarh,496661,5,35,raigarh,raigarh
28-11-2025,chhattisgarh,Raipur,492011,1,3,raipur,raipur
28-11-2025,chhattisgarh,Raipur,492013,7,33,raipur,raipur
28-11-2025,chhattisgarh,Raipur,492014,2,13,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493111,3,32,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493114,1,39,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493195,0,4,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493890,0,7,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493996,0,27,raipur,raipur
29-11-2025,chhattisgarh,Bilaspur,495115,2,13,bilaspur,bilaspur
29-11-2025,chhattisgarh,Bilaspur,495442,2,54,bilaspur,bilaspur
29-11-2025,chhattisgarh,Bilaspur,495550,8,47,bilaspur,bilaspur
29-11-2025,chhattisgarh,Durg,490011,4,9,durg,durg
29-11-2025,chhattisgarh,Durg,490025,2,20,durg,durg
29-11-2025,chhattisgarh,Durg,490036,2,12,durg,durg
29-11-2025,chhattisgarh,Durg,491331,0,17,durg,durg
29-11-2025,chhattisgarh,Durg,491337,0,1,durg,durg
29-11-2025,chhattisgarh,Durg,491340,0,1,durg,durg
29-11-2025,chhattisgarh,Korba,495119,0,18,korba,korba
29-11-2025,chhattisgarh,Korba,495450,0,8,korba,korba
29-11-2025,chhattisgarh,Korba,495674,1,82,korba,korba
29-11-2025,chhattisgarh,Korba,495682,0,6,korba,korba
29-11-2025,chhattisgarh,Raipur,492002,0,1,raipur,raipur
29-11-2025,chhattisgarh,Raipur,492006,1,11,raipur,raipur
29-11-2025,chhattisgarh,Raipur,492099,1,12,raipur,raipur
29-11-2025,chhattisgarh,Raipur,493113,0,1,raipur,raipur
29-11-2025,chhattisgarh,Raipur,493116,1,11,raipur,raipur
29-11-2025,chhattisgarh,Raipur,493885,0,17,raipur,raipur
29-11-2025,chhattisgarh,Raipur,493996,0,23,raipur,raipur
28-11-2025,chhattisgarh,Bilaspur,495222,1,15,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495223,1,9,bilaspur,bilaspur
28-11-2025,chhattisgarh,Bilaspur,495330,4,92,bilaspur,bilaspur
28-11-2025,chhattisgarh,Durg,490006,10,34,durg,durg
28-11-2025,chhattisgarh,Durg,490011,2,17,durg,durg
28-11-2025,chhattisgarh,Durg,490021,2,8,durg,durg
28-11-2025,chhattisgarh,Durg,491001,10,101,durg,durg
28-11-2025,chhattisgarh,Korba,495119,0,24,korba,korba
28-11-2025,chhattisgarh,Korba,495678,2,5,korba,korba
28-11-2025,chhattisgarh,Raigarh,496115,2,22,raigarh,raigarh
28-11-2025,chhattisgarh,Raigarh,496220,0,10,raigarh,raigarh
28-11-2025,chhattisgarh,Raigarh,496440,2,39,raigarh,raigarh
28-11-2025,chhattisgarh,Raipur,492012,0,4,raipur,raipur
28-11-2025,chhattisgarh,Raipur,492109,1,6,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493221,4,40,raipur,raipur
28-11-2025,chhattisgarh,Raipur,493225,6,160,raipur,raipur
22-12-2025,chhattisgarh,Bilaspur,495009,5,10,bilaspur,bilaspur
22-12-2025,chhattisgarh,Bilaspur,495117,2,43,bilaspur,bilaspur
22-12-2025,chhattisgarh,Bilaspur,495220,2,16,bilaspur,bilaspur
22-12-2025,chhattisgarh,Bilaspur,495222,0,1,bilaspur,bilaspur
22-12-2025,chhattisgarh,Bilaspur,495442,1,17,bilaspur,bilaspur
22-12-2025,chhattisgarh,Durg,490009,1,2,durg,durg
22-12-2025,chhattisgarh,Durg,490022,1,1,durg,durg
22-12-2025,chhattisgarh,Durg,490023,4,21,durg,durg
22-12-2025,chhattisgarh,Durg,490024,1,6,durg,durg
22-12-2025,chhattisgarh,Durg,490026,3,15,durg,durg
22-12-2025,chhattisgarh,Durg,491223,5,4,durg,durg
22-12-2025,chhattisgarh,Durg,491331,1,12,durg,durg
22-12-2025,chhattisgarh,Korba,495454,0,15,korba,korba
22-12-2025,chhattisgarh,Korba,495671,2,9,korba,korba
22-12-2025,chhattisgarh,Korba,495678,0,1,korba,korba
22-12-2025,chhattisgarh,Korba,495684,0,8,korba,korba
22-12-2025,chhattisgarh,Raigarh,496450,3,21,raigarh,raigarh
22-12-2025,chhattisgarh,Raigarh,496661,0,8,raigarh,raigarh
22-12-2025,chhattisgarh,Raipur,492003,0,3,raipur,raipur
22-12-2025,chhattisgarh,Raipur,492099,2,13,raipur,raipur
22-12-2025,chhattisgarh,Raipur,492101,1,6,raipur,raipur
22-12-2025,chhattisgarh,Raipur,493195,0,3,raipur,raipur
22-12-2025,chhattisgarh,Raipur,493441,0,20,raipur,raipur
22-12-2025,chhattisgarh,Raipur,493996,0,3,raipur,raipur
23-12-2025,chhattisgarh,Durg,490025,2,8,durg,durg
23-12-2025,chhattisgarh,Durg,491331,2,11,durg,durg
23-12-2025,chhattisgarh,Korba,495119,1,26,korba,korba
23-12-2025,chhattisgarh,Korba,495445,14,89,korba,korba
23-12-2025,chhattisgarh,Korba,495674,5,70,korba,korba
23-12-2025,chhattisgarh,Korba,495683,2,17,korba,korba
23-12-2025,chhattisgarh,Korba,495684,6,13,korba,korba
23-12-2025,chhattisgarh,Raigarh,496107,2,60,raigarh,raigarh
23-12-2025,chhattisgarh,Raigarh,496111,2,35,raigarh,raigarh
23-12-2025,chhattisgarh,Raigarh,496661,7,63,raigarh,raigarh
23-12-2025,chhattisgarh,Raipur,492001,13,89,raipur,raipur
23-12-2025,chhattisgarh,Raipur,492005,1,0,raipur,raipur
23-12-2025,chhattisgarh,Raipur,492010,0,11,raipur,raipur
23-12-2025,chhattisgarh,Raipur,492101,2,23,raipur,raipur
23-12-2025,chhattisgarh,Raipur,493221,6,44,raipur,raipur
23-12-2025,chhattisgarh,Raipur,493441,5,24,raipur,raipur
23-12-2025,chhattisgarh,Raipur,493890,0,2,raipur,raipur
24-12-2025,chhattisgarh,Bilaspur,495223,4,7,bilaspur,bilaspur
24-12-2025,chhattisgarh,Bilaspur,495442,6,34,bilaspur,bilaspur
24-12-2025,chhattisgarh,Durg,490009,0,5,durg,durg
24-12-2025,chhattisgarh,Durg,490021,1,5,durg,durg
24-12-2025,chhattisgarh,Durg,490026,5,19,durg,durg
24-12-2025,chhattisgarh,Durg,491226,0,4,durg,durg
24-12-2025,chhattisgarh,Durg,491228,0,6,durg,durg
24-12-2025,chhattisgarh,Korba,495119,2,16,korba,korba
24-12-2025,chhattisgarh,Korba,495442,1,2,korba,korba
24-12-2025,chhattisgarh,Korba,495445,4,58,korba,korba
24-12-2025,chhattisgarh,Korba,495671,2,13,korba,korba
24-12-2025,chhattisgarh,Raigarh,496001,10,84,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496100,1,13,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496115,1,15,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496116,8,25,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496220,0,3,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496551,1,67,raigarh,raigarh
24-12-2025,chhattisgarh,Raigarh,496665,4,17,raigarh,raigarh
24-12-2025,chhattisgarh,Raipur,492007,2,9,raipur,raipur
24-12-2025,chhattisgarh,Raipur,492008,2,10,raipur,raipur
24-12-2025,chhattisgarh,Raipur,493661,6,39,raipur,raipur
24-12-2025,chhattisgarh,Raipur,493881,0,7,raipur,raipur
24-12-2025,chhattisgarh,Raipur,493885,0,12,raipur,raipur
26-12-2025,chhattisgarh,Bilaspur,495006,9,51,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495220,5,15,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495223,0,5,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495449,2,12,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495551,18,78,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495559,1,12,bilaspur,bilaspur
26-12-2025,chhattisgarh,Durg,490001,5,14,durg,durg
26-12-2025,chhattisgarh,Durg,490009,0,7,durg,durg
26-12-2025,chhattisgarh,Durg,490020,2,9,durg,durg
26-12-2025,chhattisgarh,Durg,490026,2,14,durg,durg
26-12-2025,chhattisgarh,Durg,491001,22,97,durg,durg
26-12-2025,chhattisgarh,Durg,491107,4,16,durg,durg
26-12-2025,chhattisgarh,Durg,491111,10,36,durg,durg
26-12-2025,chhattisgarh,Durg,491222,1,0,durg,durg
26-12-2025,chhattisgarh,Korba,495447,1,25,korba,korba
26-12-2025,chhattisgarh,Raigarh,496107,2,37,raigarh,raigarh
26-12-2025,chhattisgarh,Raigarh,496118,4,34,raigarh,raigarh
26-12-2025,chhattisgarh,Raigarh,496220,1,7,raigarh,raigarh
26-12-2025,chhattisgarh,Raigarh,496450,3,41,raigarh,raigarh
26-12-2025,chhattisgarh,Raipur,492003,0,2,raipur,raipur
26-12-2025,chhattisgarh,Raipur,492101,4,24,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493111,3,18,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493116,0,15,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493888,1,1,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493996,0,11,raipur,raipur
25-12-2025,chhattisgarh,Bilaspur,495006,5,40,bilaspur,bilaspur
25-12-2025,chhattisgarh,Bilaspur,495009,1,9,bilaspur,bilaspur
25-12-2025,chhattisgarh,Bilaspur,495112,3,19,bilaspur,bilaspur
25-12-2025,chhattisgarh,Bilaspur,495113,7,32,bilaspur,bilaspur
25-12-2025,chhattisgarh,Bilaspur,495330,2,13,bilaspur,bilaspur
25-12-2025,chhattisgarh,Bilaspur,495446,0,2,bilaspur,bilaspur
25-12-2025,chhattisgarh,Durg,490009,2,4,durg,durg
25-12-2025,chhattisgarh,Durg,490023,14,41,durg,durg
25-12-2025,chhattisgarh,Durg,491001,28,79,durg,durg
25-12-2025,chhattisgarh,Durg,491223,1,11,durg,durg
25-12-2025,chhattisgarh,Durg,491332,4,4,durg,durg
25-12-2025,chhattisgarh,Korba,495442,0,4,korba,korba
25-12-2025,chhattisgarh,Korba,495449,4,28,korba,korba
25-12-2025,chhattisgarh,Korba,495454,0,19,korba,korba
25-12-2025,chhattisgarh,Korba,495674,5,25,korba,korba
25-12-2025,chhattisgarh,Korba,495677,4,16,korba,korba
25-12-2025,chhattisgarh,Korba,495682,0,5,korba,korba
25-12-2025,chhattisgarh,Korba,495683,0,3,korba,korba
25-12-2025,chhattisgarh,Raigarh,496001,6,72,raigarh,raigarh
25-12-2025,chhattisgarh,Raigarh,496115,0,10,raigarh,raigarh
25-12-2025,chhattisgarh,Raigarh,496445,6,24,raigarh,raigarh
25-12-2025,chhattisgarh,Raigarh,496450,5,19,raigarh,raigarh
25-12-2025,chhattisgarh,Raigarh,496554,1,21,raigarh,raigarh
25-12-2025,chhattisgarh,Raipur,492003,0,3,raipur,raipur
25-12-2025,chhattisgarh,Raipur,492008,4,5,raipur,raipur
25-12-2025,chhattisgarh,Raipur,493992,0,4,raipur,raipur
27-12-2025,chhattisgarh,Bilaspur,495006,6,42,bilaspur,bilaspur
27-12-2025,chhattisgarh,Bilaspur,495118,2,95,bilaspur,bilaspur
27-12-2025,chhattisgarh,Durg,490009,0,4,durg,durg
27-12-2025,chhattisgarh,Durg,491223,4,10,durg,durg
27-12-2025,chhattisgarh,Durg,491340,0,1,durg,durg
27-12-2025,chhattisgarh,Korba,495445,13,85,korba,korba
27-12-2025,chhattisgarh,Korba,495447,5,19,korba,korba
27-12-2025,chhattisgarh,Korba,495455,0,1,korba,korba
27-12-2025,chhattisgarh,Korba,495671,1,14,korba,korba
27-12-2025,chhattisgarh,Korba,495677,3,22,korba,korba
27-12-2025,chhattisgarh,Raigarh,496113,2,80,raigarh,raigarh
27-12-2025,chhattisgarh,Raigarh,496665,2,23,raigarh,raigarh
27-12-2025,chhattisgarh,Raipur,492003,0,6,raipur,raipur
27-12-2025,chhattisgarh,Raipur,492006,3,15,raipur,raipur
27-12-2025,chhattisgarh,Raipur,493111,7,11,raipur,raipur
27-12-2025,chhattisgarh,Raipur,493116,2,14,raipur,raipur
27-12-2025,chhattisgarh,Raipur,493441,5,37,raipur,raipur
27-12-2025,chhattisgarh,Raipur,493889,0,6,raipur,raipur
27-12-2025,chhattisgarh,Raipur,493890,0,4,raipur,raipur
26-12-2025,chhattisgarh,Bilaspur,495115,0,7,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495118,9,135,bilaspur,bilaspur
26-12-2025,chhattisgarh,Bilaspur,495446,0,4,bilaspur,bilaspur
26-12-2025,chhattisgarh,Durg,490022,1,5,durg,durg
26-12-2025,chhattisgarh,Durg,490023,7,35,durg,durg
26-12-2025,chhattisgarh,Durg,490036,1,14,durg,durg
26-12-2025,chhattisgarh,Durg,491221,6,11,durg,durg
26-12-2025,chhattisgarh,Durg,491225,1,0,durg,durg
26-12-2025,chhattisgarh,Durg,491331,3,8,durg,durg
26-12-2025,chhattisgarh,Korba,495446,3,25,korba,korba
26-12-2025,chhattisgarh,Korba,495449,4,68,korba,korba
26-12-2025,chhattisgarh,Korba,495452,1,9,korba,korba
26-12-2025,chhattisgarh,Korba,495682,0,8,korba,korba
26-12-2025,chhattisgarh,Korba,495684,1,23,korba,korba
26-12-2025,chhattisgarh,Raigarh,496115,1,8,raigarh,raigarh
26-12-2025,chhattisgarh,Raigarh,496445,7,39,raigarh,raigarh
26-12-2025,chhattisgarh,Raipur,492012,0,6,raipur,raipur
26-12-2025,chhattisgarh,Raipur,492013,4,29,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493195,0,5,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493221,5,31,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493885,2,10,raipur,raipur
26-12-2025,chhattisgarh,Raipur,493889,1,8,raipur,raipur
28-12-2025,chhattisgarh,Korba,495678,0,8,korba,korba
28-12-2025,chhattisgarh,Raigarh,496111,0,3,raigarh,raigarh
28-12-2025,chhattisgarh,Raigarh,496113,1,9,raigarh,raigarh
28-12-2025,chhattisgarh,Raigarh,496440,1,9,raigarh,raigarh
28-12-2025,chhattisgarh,Raigarh,496445,2,14,raigarh,raigarh
28-12-2025,chhattisgarh,Raipur,492010,0,4,raipur,raipur
28-12-2025,chhattisgarh,Raipur,492014,3,16,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493114,1,8,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493221,5,25,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493881,0,3,raipur,raipur
28-12-2025,chhattisgarh,Bilaspur,495001,17,81,bilaspur,bilaspur
28-12-2025,chhattisgarh,Bilaspur,495004,12,19,bilaspur,bilaspur
28-12-2025,chhattisgarh,Bilaspur,495116,4,8,bilaspur,bilaspur
28-12-2025,chhattisgarh,Bilaspur,495119,4,10,bilaspur,bilaspur
28-12-2025,chhattisgarh,Bilaspur,495550,6,21,bilaspur,bilaspur
28-12-2025,chhattisgarh,Bilaspur,495555,0,3,bilaspur,bilaspur
28-12-2025,chhattisgarh,Durg,490001,3,13,durg,durg
28-12-2025,chhattisgarh,Durg,491107,3,22,durg,durg
28-12-2025,chhattisgarh,Durg,491111,2,8,durg,durg
28-12-2025,chhattisgarh,Durg,491225,0,1,durg,durg
28-12-2025,chhattisgarh,Durg,491228,0,1,durg,durg
28-12-2025,chhattisgarh,Korba,495447,0,10,korba,korba
28-12-2025,chhattisgarh,Korba,495449,2,15,korba,korba
28-12-2025,chhattisgarh,Korba,495450,0,9,korba,korba
28-12-2025,chhattisgarh,Korba,495677,3,30,korba,korba
28-12-2025,chhattisgarh,Raigarh,496116,2,16,raigarh,raigarh
28-12-2025,chhattisgarh,Raigarh,496554,0,5,raigarh,raigarh
28-12-2025,chhattisgarh,Raipur,492011,0,2,raipur,raipur
28-12-2025,chhattisgarh,Raipur,492013,10,40,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493113,0,1,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493116,1,4,raipur,raipur
28-12-2025,chhattisgarh,Raipur,493441,2,13,raipur,raipur
29-12-2025,chhattisgarh,Bilaspur,495001,19,99,bilaspur,bilaspur
29-12-2025,chhattisgarh,Bilaspur,495113,1,29,bilaspur,bilaspur
29-12-2025,chhattisgarh,Bilaspur,495330,7,31,bilaspur,bilaspur
29-12-2025,chhattisgarh,Bilaspur,495449,3,6,bilaspur,bilaspur
29-12-2025,chhattisgarh,Bilaspur,495550,5,22,bilaspur,bilaspur
29-12-2025,chhattisgarh,Durg,490001,3,14,durg,durg
29-12-2025,chhattisgarh,Durg,490024,4,9,durg,durg
29-12-2025,chhattisgarh,Durg,490026,0,16,durg,durg
29-12-2025,chhattisgarh,Durg,491225,1,1,durg,durg
29-12-2025,chhattisgarh,Durg,491227,0,1,durg,durg
29-12-2025,chhattisgarh,Durg,491228,0,16,durg,durg
29-12-2025,chhattisgarh,Korba,495446,1,18,korba,korba
29-12-2025,chhattisgarh,Korba,495452,3,9,korba,korba
29-12-2025,chhattisgarh,Korba,495678,1,4,korba,korba
29-12-2025,chhattisgarh,Raigarh,496118,4,20,raigarh,raigarh
29-12-2025,chhattisgarh,Raigarh,496440,1,23,raigarh,raigarh
29-12-2025,chhattisgarh,Raipur,492001,12,54,raipur,raipur
29-12-2025,chhattisgarh,Raipur,492007,0,7,raipur,raipur
29-12-2025,chhattisgarh,Raipur,492010,1,6,raipur,raipur
29-12-2025,chhattisgarh,Raipur,492013,6,29,raipur,raipur
29-12-2025,chhattisgarh,Raipur,492015,3,29,raipur,raipur
29-12-2025,chhattisgarh,Raipur,493195,1,5,raipur,raipur
29-12-2025,chhattisgarh,Raipur,493881,4,5,raipur,raipur
01-04-2025,chhattisgarh,Raipur,492013,119,814,raipur,raipur
01-04-2025,chhattisgarh,Raipur,493225,60,1451,raipur,raipur
01-04-2025,chhattisgarh,Durg,490011,135,392,durg,durg
01-05-2025,chhattisgarh,Korba,495445,84,1052,korba,korba
01-05-2025,chhattisgarh,Raipur,493111,68,576,raipur,raipur
01-05-2025,chhattisgarh,Raipur,493225,108,1380,raipur,raipur
01-05-2025,chhattisgarh,Korba,495674,73,923,korba,korba
01-03-2025,chhattisgarh,Durg,490023,189,788,durg,durg
01-03-2025,chhattisgarh,Raigarh,496100,16,160,raigarh,raigarh
01-03-2025,chhattisgarh,Raipur,493111,39,561,raipur,raipur
01-03-2025,chhattisgarh,Raigarh,496115,57,277,raigarh,raigarh
01-03-2025,chhattisgarh,Durg,490006,101,675,durg,durg
01-03-2025,chhattisgarh,Durg,491332,16,181,durg,durg
01-03-2025,chhattisgarh,Bilaspur,495112,21,479,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raigarh,496001,182,1388,raigarh,raigarh
01-03-2025,chhattisgarh,Durg,490025,29,374,durg,durg
01-03-2025,chhattisgarh,Bilaspur,495555,16,192,bilaspur,bilaspur
01-06-2025,chhattisgarh,Korba,495450,67,689,korba,korba
01-06-2025,chhattisgarh,Durg,491111,255,2450,durg,durg
01-06-2025,chhattisgarh,Bilaspur,495551,500,5438,bilaspur,bilaspur
01-07-2025,chhattisgarh,Raipur,492001,360,2824,raipur,raipur
01-07-2025,chhattisgarh,Bilaspur,495224,362,1972,bilaspur,bilaspur
01-07-2025,chhattisgarh,Bilaspur,495550,114,1116,bilaspur,bilaspur
01-07-2025,chhattisgarh,Durg,491001,679,2820,durg,durg
01-07-2025,chhattisgarh,Korba,495445,337,2949,korba,korba
01-07-2025,chhattisgarh,Korba,495684,100,815,korba,korba
01-07-2025,chhattisgarh,Bilaspur,495220,115,744,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495001,11,119,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495117,1,50,bilaspur,bilaspur
