date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
01-09-2025,rajasthan,Jaipur,303102,2,5,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303103,6,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303301,5,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303803,4,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303805,2,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jodhpur,342001,9,6,1,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342015,1,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342022,6,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342301,14,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342303,10,0,1,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342304,1,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342311,17,6,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342603,2,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,345023,0,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Kota,324003,1,0,0,kota,kota
01-09-2025,rajasthan,Kota,324005,3,2,0,kota,kota
01-09-2025,rajasthan,Kota,324006,0,1,1,kota,kota
01-09-2025,rajasthan,Kota,324010,1,0,0,kota,kota
01-09-2025,rajasthan,Kota,325003,2,0,0,kota,kota
01-09-2025,rajasthan,Kota,325214,2,1,0,kota,kota
01-09-2025,rajasthan,Kota,325602,4,6,0,kota,kota
01-09-2025,rajasthan,Kota,326501,3,2,0,kota,kota
01-09-2025,rajasthan,Kota,326520,0,1,0,kota,kota
01-09-2025,rajasthan,Kota,326529,1,2,0,kota,kota
01-09-2025,rajasthan,Udaipur,307025,12,23,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313202,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313708,5,4,1,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313906,3,0,0,udaipur,udaipur
01-09-2025,rajasthan,Bikaner,334003,1,0,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334401,3,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334603,7,5,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334604,0,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334802,2,7,0,bikaner,bikaner
01-09-2025,rajasthan,Jaipur,302011,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302034,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302039,8,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303104,2,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303108,7,9,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303601,1,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303604,4,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303712,11,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303807,2,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303905,2,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303908,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jodhpur,342005,1,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342024,3,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342027,3,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342305,4,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342306,2,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Kota,324007,8,2,1,kota,kota
01-09-2025,rajasthan,Kota,324008,6,0,0,kota,kota
01-09-2025,rajasthan,Kota,325207,0,1,0,kota,kota
01-09-2025,rajasthan,Kota,326519,4,4,0,kota,kota
01-09-2025,rajasthan,Udaipur,313024,2,0,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313026,3,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313027,7,5,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313038,9,8,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313603,7,6,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313701,9,6,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313704,4,7,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313706,4,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313801,1,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313802,6,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313902,3,7,0,udaipur,udaipur
01-09-2025,rajasthan,Bikaner,331811,2,5,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334004,1,0,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334202,2,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334302,2,1,0,bikaner,bikaner
01-09-2025,rajasthan,Jaipur,302006,3,3,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302016,7,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302017,5,3,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302022,1,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302032,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303012,6,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303107,5,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303110,1,3,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303328,2,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303348,7,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303701,2,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303804,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303904,3,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jodhpur,342013,3,5,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342307,3,3,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342309,3,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342602,2,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342604,1,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342802,2,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342901,2,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Kota,325601,3,5,0,kota,kota
01-09-2025,rajasthan,Kota,326517,1,0,0,kota,kota
01-09-2025,rajasthan,Udaipur,313201,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313203,3,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313903,10,1,0,udaipur,udaipur
01-09-2025,rajasthan,Bikaner,334022,1,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334402,0,2,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334602,1,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334803,6,6,1,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334808,1,0,0,bikaner,bikaner
01-09-2025,rajasthan,Jaipur,302002,8,11,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302013,4,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302020,10,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302021,2,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302028,1,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302029,8,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303001,2,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303003,5,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303005,5,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303119,2,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303120,0,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303302,2,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303305,7,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303338,5,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303603,5,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303702,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303704,0,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303901,10,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303903,2,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jodhpur,342028,5,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342037,0,3,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342308,3,5,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342312,8,6,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342314,4,3,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342605,1,1,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,345021,4,3,0,jodhpur,jodhpur
01-09-2025,rajasthan,Kota,324001,2,0,0,kota,kota
01-09-2025,rajasthan,Kota,324009,4,1,0,kota,kota
01-09-2025,rajasthan,Kota,325004,10,1,0,kota,kota
01-09-2025,rajasthan,Kota,325203,1,0,0,kota,kota
01-09-2025,rajasthan,Kota,325204,5,0,0,kota,kota
01-09-2025,rajasthan,Kota,326530,0,2,0,kota,kota
01-09-2025,rajasthan,Udaipur,313001,8,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313002,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313011,3,0,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313022,1,0,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313204,4,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313322,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313601,2,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313703,14,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313705,4,5,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313804,3,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313901,3,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313905,3,0,0,udaipur,udaipur
02-09-2025,rajasthan,Bikaner,331811,1,3,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334004,4,1,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334023,3,3,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334305,1,2,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334601,1,1,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334603,5,2,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334803,6,7,0,bikaner,bikaner
02-09-2025,rajasthan,Jaipur,302002,7,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302004,5,3,1,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302013,4,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302016,7,6,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302020,7,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302034,1,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302039,7,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303008,10,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303012,4,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303108,6,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303301,4,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303602,3,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303701,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303802,0,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303903,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jodhpur,342001,14,6,1,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342003,1,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342005,4,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342023,2,2,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342302,6,2,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342308,2,3,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342314,1,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342801,1,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,345021,3,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Kota,324009,10,2,0,kota,kota
02-09-2025,rajasthan,Kota,325004,5,5,0,kota,kota
02-09-2025,rajasthan,Udaipur,307025,14,20,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313038,5,6,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313206,2,0,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313601,7,6,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313703,5,5,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313705,3,2,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313801,3,3,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313904,2,1,0,udaipur,udaipur
02-09-2025,rajasthan,Bikaner,334001,11,5,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334402,0,2,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334801,4,0,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334802,3,6,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334804,2,6,0,bikaner,bikaner
02-09-2025,rajasthan,Jaipur,302018,1,3,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302021,7,3,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302022,0,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302031,1,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302033,7,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303005,3,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303009,3,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303102,1,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303105,3,4,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303107,5,3,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303109,7,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303338,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303706,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303807,6,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303908,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jodhpur,342006,2,2,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342025,12,7,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342312,4,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342601,15,3,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342604,1,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Kota,324006,3,0,0,kota,kota
02-09-2025,rajasthan,Kota,324007,5,0,0,kota,kota
02-09-2025,rajasthan,Kota,325009,1,0,0,kota,kota
02-09-2025,rajasthan,Kota,325201,1,0,0,kota,kota
02-09-2025,rajasthan,Kota,325204,2,0,0,kota,kota
02-09-2025,rajasthan,Kota,325214,0,1,0,kota,kota
02-09-2025,rajasthan,Udaipur,313011,5,2,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313022,0,1,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313031,4,1,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313602,2,1,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313603,3,6,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313804,7,3,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313901,1,1,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313906,3,0,0,udaipur,udaipur
02-09-2025,rajasthan,Bikaner,334003,0,1,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334021,8,4,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334401,1,2,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334604,2,4,0,bikaner,bikaner
02-09-2025,rajasthan,Jaipur,302006,6,6,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302012,14,9,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302029,3,6,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303001,1,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303104,4,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303302,2,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303348,11,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303712,10,5,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303801,2,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303805,4,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jodhpur,342008,4,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342027,1,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342028,1,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342301,14,4,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342303,3,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342304,2,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342305,5,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342311,1,4,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342603,11,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342606,8,5,0,jodhpur,jodhpur
02-09-2025,rajasthan,Kota,324001,5,2,1,kota,kota
02-09-2025,rajasthan,Kota,324004,1,0,0,kota,kota
02-09-2025,rajasthan,Kota,325001,3,0,0,kota,kota
02-09-2025,rajasthan,Kota,325601,4,0,0,kota,kota
02-09-2025,rajasthan,Kota,326517,2,0,0,kota,kota
02-09-2025,rajasthan,Udaipur,313003,4,0,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313004,0,1,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313204,1,0,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313322,2,0,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313704,4,4,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313902,11,8,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313903,10,0,0,udaipur,udaipur
02-09-2025,rajasthan,Udaipur,313905,1,3,0,udaipur,udaipur
02-09-2025,rajasthan,Bikaner,331803,16,2,1,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334202,1,1,0,bikaner,bikaner
02-09-2025,rajasthan,Bikaner,334302,3,5,0,bikaner,bikaner
02-09-2025,rajasthan,Jaipur,302015,2,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302017,7,4,1,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302019,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,302026,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303003,0,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303007,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303103,12,2,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303120,2,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303603,22,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303604,5,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303702,5,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303806,2,0,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303901,7,3,0,jaipur,jaipur
02-09-2025,rajasthan,Jaipur,303904,2,1,0,jaipur,jaipur
02-09-2025,rajasthan,Jodhpur,342022,7,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342024,3,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342037,1,1,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342309,1,0,0,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342602,10,4,1,jodhpur,jodhpur
02-09-2025,rajasthan,Jodhpur,342605,5,4,0,jodhpur,jodhpur
