date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,tamil nadu,Tiruchirappalli,621307,239,262,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621702,51,122,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621216,95,206,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621004,50,69,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625003,287,402,madurai,madurai
01-03-2025,tamil nadu,Salem,636122,382,222,salem,salem
01-03-2025,tamil nadu,Coimbatore,642125,39,11,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600024,135,321,chennai,chennai
01-03-2025,tamil nadu,Salem,636107,596,99,salem,salem
01-03-2025,tamil nadu,Madurai,625708,22,52,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641669,51,76,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641001,354,870,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641043,33,76,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625108,143,92,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621207,117,279,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636306,512,161,salem,salem
01-03-2025,tamil nadu,Madurai,625109,241,146,madurai,madurai
01-03-2025,tamil nadu,Salem,636109,359,181,salem,salem
01-03-2025,tamil nadu,Madurai,625205,71,41,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,620008,384,486,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600094,223,516,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621310,197,252,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625537,194,85,madurai,madurai
01-03-2025,tamil nadu,Salem,636452,141,70,salem,salem
01-03-2025,tamil nadu,Chennai,600100,132,75,chennai,chennai
01-03-2025,tamil nadu,Madurai,625107,185,281,madurai,madurai
01-03-2025,tamil nadu,Chennai,600090,43,63,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641402,204,382,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641020,149,196,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621111,29,52,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625005,244,343,madurai,madurai
01-03-2025,tamil nadu,Salem,636351,294,108,salem,salem
01-03-2025,tamil nadu,Coimbatore,641658,25,55,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636503,224,96,salem,salem
01-03-2025,tamil nadu,Chennai,600088,39,11,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621109,29,54,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625701,74,98,madurai,madurai
01-03-2025,tamil nadu,Chennai,600042,389,402,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621314,160,666,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641029,112,153,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600009,23,23,chennai,chennai
01-03-2025,tamil nadu,Madurai,625016,1167,1026,madurai,madurai
01-03-2025,tamil nadu,Salem,636201,334,173,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620011,102,253,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621011,59,89,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,620003,243,418,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625008,80,70,madurai,madurai
01-03-2025,tamil nadu,Salem,636204,143,168,salem,salem
01-03-2025,tamil nadu,Salem,636007,360,246,salem,salem
01-03-2025,tamil nadu,Coimbatore,641401,75,184,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625001,703,926,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641042,110,133,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642105,17,20,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620004,145,292,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621315,342,192,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641113,49,57,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621206,66,100,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621305,96,179,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621105,86,172,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641022,53,101,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620015,74,218,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636115,521,328,salem,salem
01-03-2025,tamil nadu,Coimbatore,641047,47,96,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621306,549,503,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600129,32,31,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,620026,68,137,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600113,134,134,chennai,chennai
01-03-2025,tamil nadu,Salem,636013,64,39,salem,salem
01-03-2025,tamil nadu,Madurai,625004,127,133,madurai,madurai
01-03-2025,tamil nadu,Chennai,600033,114,203,chennai,chennai
01-03-2025,tamil nadu,Madurai,625009,951,1161,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,642202,11,21,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636602,92,69,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621215,193,105,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641302,175,203,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620012,176,463,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621203,99,69,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636451,273,377,salem,salem
01-03-2025,tamil nadu,Salem,636303,224,362,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621005,375,427,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,620014,58,70,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621712,155,228,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625020,435,764,madurai,madurai
01-03-2025,tamil nadu,Salem,636108,393,353,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621209,132,58,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641004,167,357,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625019,137,192,madurai,madurai
01-03-2025,tamil nadu,Madurai,625706,465,336,madurai,madurai
01-03-2025,tamil nadu,Chennai,600118,965,827,chennai,chennai
01-03-2025,tamil nadu,Madurai,625218,269,123,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621214,48,79,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625007,355,337,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,620020,118,207,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625018,318,716,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641049,93,105,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641009,30,108,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636304,229,91,salem,salem
01-03-2025,tamil nadu,Chennai,600107,68,188,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642101,14,13,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642007,52,60,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600028,200,332,chennai,chennai
01-03-2025,tamil nadu,Salem,636305,470,190,salem,salem
01-03-2025,tamil nadu,Salem,636501,440,258,salem,salem
01-03-2025,tamil nadu,Madurai,625234,117,63,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621302,223,163,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621012,117,143,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600005,315,340,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,620101,44,126,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600041,210,390,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,639101,20,96,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641010,282,423,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641035,290,398,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636114,294,98,salem,salem
01-03-2025,tamil nadu,Coimbatore,641109,136,233,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621009,120,74,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621002,102,152,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636003,458,434,salem,salem
01-03-2025,tamil nadu,Salem,636402,121,65,salem,salem
01-03-2025,tamil nadu,Chennai,600004,248,504,chennai,chennai
01-03-2025,tamil nadu,Chennai,600082,207,509,chennai,chennai
01-03-2025,tamil nadu,Madurai,625501,256,172,madurai,madurai
01-03-2025,tamil nadu,Salem,636302,562,344,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620013,245,375,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625402,333,269,madurai,madurai
01-03-2025,tamil nadu,Madurai,625011,482,733,madurai,madurai
01-03-2025,tamil nadu,Chennai,600102,43,62,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641107,185,235,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636110,229,89,salem,salem
01-03-2025,tamil nadu,Chennai,600010,110,335,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621218,52,140,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641012,46,114,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600106,177,406,chennai,chennai
01-03-2025,tamil nadu,Salem,636009,335,268,salem,salem
01-03-2025,tamil nadu,Chennai,600086,21,33,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641023,262,365,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625529,101,99,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641105,170,209,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621202,50,122,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,642205,50,68,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,637504,255,197,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620007,134,349,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600001,391,792,chennai,chennai
01-03-2025,tamil nadu,Madurai,625105,137,87,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,620006,87,294,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621653,94,255,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,637303,32,61,salem,salem
01-03-2025,tamil nadu,Madurai,625214,122,104,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641028,125,214,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642001,258,154,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600049,285,154,chennai,chennai
01-03-2025,tamil nadu,Salem,636453,274,372,salem,salem
01-03-2025,tamil nadu,Chennai,600038,34,37,chennai,chennai
01-03-2025,tamil nadu,Salem,637105,348,140,salem,salem
01-03-2025,tamil nadu,Madurai,625110,48,70,madurai,madurai
01-03-2025,tamil nadu,Salem,636118,221,33,salem,salem
01-03-2025,tamil nadu,Chennai,600003,88,113,chennai,chennai
01-03-2025,tamil nadu,Chennai,600115,23,21,chennai,chennai
01-03-2025,tamil nadu,Salem,636015,366,495,salem,salem
01-03-2025,tamil nadu,Salem,636458,54,126,salem,salem
01-03-2025,tamil nadu,Chennai,600012,955,1302,chennai,chennai
01-03-2025,tamil nadu,Salem,636140,35,59,salem,salem
01-03-2025,tamil nadu,Salem,636454,53,94,salem,salem
01-03-2025,tamil nadu,Madurai,625221,183,74,madurai,madurai
01-03-2025,tamil nadu,Chennai,600108,23,30,chennai,chennai
01-03-2025,tamil nadu,Madurai,625503,201,174,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641108,78,277,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642108,28,13,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600084,22,47,chennai,chennai
01-03-2025,tamil nadu,Chennai,600034,71,120,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641201,50,87,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600011,493,888,chennai,chennai
01-03-2025,tamil nadu,Salem,636354,224,79,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620023,26,72,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621204,16,84,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621006,84,109,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600078,304,582,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641407,34,85,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625104,50,75,madurai,madurai
01-03-2025,tamil nadu,Salem,636111,131,133,salem,salem
01-03-2025,tamil nadu,Chennai,600018,161,184,chennai,chennai
01-03-2025,tamil nadu,Chennai,600112,98,125,chennai,chennai
01-03-2025,tamil nadu,Madurai,625012,503,837,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,639115,24,154,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,642117,38,25,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641019,51,111,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636004,310,285,salem,salem
01-03-2025,tamil nadu,Madurai,625101,160,122,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621112,135,232,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641030,101,226,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625103,228,158,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,642002,166,151,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600083,162,312,chennai,chennai
01-03-2025,tamil nadu,Chennai,600093,93,179,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642134,18,30,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636141,251,376,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,622102,30,35,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,642130,34,31,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625707,51,60,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641041,143,289,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600006,62,81,chennai,chennai
01-03-2025,tamil nadu,Salem,636403,16,44,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621312,128,92,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621651,52,117,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625106,465,417,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641026,176,361,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625704,87,68,madurai,madurai
01-03-2025,tamil nadu,Salem,636308,100,123,salem,salem
01-03-2025,tamil nadu,Coimbatore,642114,28,45,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636139,98,72,salem,salem
01-03-2025,tamil nadu,Chennai,600032,146,153,chennai,chennai
01-03-2025,tamil nadu,Salem,637101,1129,465,salem,salem
01-03-2025,tamil nadu,Coimbatore,641003,13,36,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620102,404,543,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641048,90,120,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625502,20,14,madurai,madurai
01-03-2025,tamil nadu,Chennai,600039,728,1374,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642107,72,86,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642129,116,79,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600035,46,57,chennai,chennai
01-03-2025,tamil nadu,Chennai,600008,37,53,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641016,137,398,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636113,745,140,salem,salem
01-03-2025,tamil nadu,Madurai,625705,149,432,madurai,madurai
01-03-2025,tamil nadu,Chennai,600021,606,949,chennai,chennai
01-03-2025,tamil nadu,Chennai,600023,345,650,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,620016,61,100,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,637104,349,91,salem,salem
01-03-2025,tamil nadu,Chennai,600029,105,194,chennai,chennai
01-03-2025,tamil nadu,Salem,636011,109,71,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620018,39,72,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,637102,668,225,salem,salem
01-03-2025,tamil nadu,Chennai,600085,91,145,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621007,52,36,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600016,17,1,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642103,98,147,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620005,106,302,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621001,72,98,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641036,19,109,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641114,61,44,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636016,225,193,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621210,53,73,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641659,130,509,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641021,234,190,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641018,44,118,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636117,122,61,salem,salem
01-03-2025,tamil nadu,Salem,637501,148,167,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621008,61,106,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636012,125,172,salem,salem
01-03-2025,tamil nadu,Coimbatore,642006,147,105,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,638459,26,78,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636010,610,321,salem,salem
01-03-2025,tamil nadu,Salem,636116,321,135,salem,salem
01-03-2025,tamil nadu,Coimbatore,641015,93,264,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600014,180,250,chennai,chennai
01-03-2025,tamil nadu,Salem,636404,129,101,salem,salem
01-03-2025,tamil nadu,Salem,636005,652,615,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620001,493,743,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600002,231,313,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641005,78,271,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625017,380,501,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641103,67,164,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642120,83,193,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641301,176,385,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621308,146,208,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636103,57,172,salem,salem
01-03-2025,tamil nadu,Salem,637103,375,159,salem,salem
01-03-2025,tamil nadu,Coimbatore,641202,57,38,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,620010,121,351,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Madurai,625021,72,54,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621211,132,346,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641668,98,145,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600013,274,400,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621205,32,61,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641025,119,323,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636030,104,120,salem,salem
01-03-2025,tamil nadu,Salem,637503,10,3,salem,salem
01-03-2025,tamil nadu,Coimbatore,641014,57,155,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625102,211,44,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621722,11,49,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600081,351,725,chennai,chennai
01-03-2025,tamil nadu,Chennai,600096,71,45,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641653,116,194,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,639103,138,117,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,621711,116,363,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641033,35,121,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641110,73,103,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636104,313,120,salem,salem
01-03-2025,tamil nadu,Madurai,625532,368,425,madurai,madurai
01-03-2025,tamil nadu,Tiruchirappalli,621652,29,77,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641671,28,80,coimbatore,coimbatore
